,Date,HomeTeam,AwayTeam,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
10,05/12/2023,Wolverhampton Wanderers,Burnley,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5555555555555556,1.6666666666666667,1.3333333333333333,1.2333333333333334,1.2333333333333334,1.6744444444444444,1.42,-0.18666666666666665,11.5,9.39,6.111111111111111,9.11111111111111,1.1044444444444443,12,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.8333333333333334,2.4166666666666665,0.3333333333333333,0.965,0.9016666666666667,1.9225,1.7958333333333334,-0.8933333333333334,12.08,13.59,4.75,8.75,0.8033333333333333,f9163c84-c8a2-5a74-9268-a2e827224e53
11,09/12/2023,Brighton,Burnley,10,0.4,0.4,0.2,1.9,1.8,1.6,1.44,1.364,1.284,1.131,0.23199999999999998,10.27,15.03,7.2,8.7,1.486,12,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.8333333333333334,2.4166666666666665,0.3333333333333333,0.965,0.9016666666666667,1.9225,1.7958333333333334,-0.8933333333333334,12.08,13.59,4.75,8.75,0.8033333333333333,df4302d2-8455-5f77-a519-fb7489a68915
12,09/12/2023,Wolverhampton Wanderers,Nottingham Forest,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5555555555555556,1.6666666666666667,1.3333333333333333,1.2333333333333334,1.2333333333333334,1.6744444444444444,1.42,-0.18666666666666665,11.5,9.39,6.111111111111111,9.11111111111111,1.1044444444444443,10,0.2,0.4,0.4,1.1,1.5,1.0,1.276,1.2,1.599,1.522,-0.322,19.55,12.44,5.8,9.6,1.125,09938ca3-f757-5995-b490-a97b8f8aa44c
13,06/12/2023,Fulham,Nottingham Forest,9,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.7777777777777778,1.6666666666666667,0.8888888888888888,1.1166666666666667,1.1166666666666667,1.3977777777777778,1.3133333333333335,-0.19666666666666666,12.54,12.92,6.333333333333333,6.444444444444445,1.1533333333333333,10,0.2,0.4,0.4,1.1,1.5,1.0,1.276,1.2,1.599,1.522,-0.322,19.55,12.44,5.8,9.6,1.125,16a511fc-8018-580a-a84c-8d107f531550
14,05/12/2023,Luton,Arsenal,11,0.18181818181818182,0.2727272727272727,0.5454545454545454,1.0,1.4545454545454546,0.8181818181818182,1.3,1.2309090909090907,2.2427272727272727,2.2427272727272727,-1.0109090909090908,16.6,7.22,5.090909090909091,9.090909090909092,0.890909090909091,10,0.7,0.2,0.1,2.2,0.7,2.3,1.86,1.556,0.982,0.906,0.65,9.9,16.02,8.8,5.5,1.794,454d8703-02cd-5270-9723-781350954edf
15,09/12/2023,Aston Villa,Arsenal,11,0.7272727272727273,0.09090909090909091,0.18181818181818182,2.3636363636363638,1.1818181818181819,2.272727272727273,2.057272727272727,1.919090909090909,1.25,1.25,0.6690909090909091,15.16,10.72,10.545454545454545,7.0,1.9218181818181819,10,0.7,0.2,0.1,2.2,0.7,2.3,1.86,1.556,0.982,0.906,0.65,9.9,16.02,8.8,5.5,1.794,15edddab-d746-527c-be4a-7f4f618b941f
16,10/12/2023,Luton,Manchester City,11,0.18181818181818182,0.2727272727272727,0.5454545454545454,1.0,1.4545454545454546,0.8181818181818182,1.3,1.2309090909090907,2.2427272727272727,2.2427272727272727,-1.0109090909090908,16.6,7.22,5.090909090909091,9.090909090909092,0.890909090909091,11,0.6363636363636364,0.18181818181818182,0.18181818181818182,2.6363636363636362,1.1818181818181819,2.090909090909091,2.3709090909090906,2.0936363636363637,1.0427272727272727,0.9736363636363637,1.12,12.08,20.59,13.363636363636363,4.454545454545454,2.1063636363636364,3d33b870-d245-5734-b7bd-5366a38be9ba
17,06/12/2023,Aston Villa,Manchester City,11,0.7272727272727273,0.09090909090909091,0.18181818181818182,2.3636363636363638,1.1818181818181819,2.272727272727273,2.057272727272727,1.919090909090909,1.25,1.25,0.6690909090909091,15.16,10.72,10.545454545454545,7.0,1.9218181818181819,11,0.6363636363636364,0.18181818181818182,0.18181818181818182,2.6363636363636362,1.1818181818181819,2.090909090909091,2.3709090909090906,2.0936363636363637,1.0427272727272727,0.9736363636363637,1.12,12.08,20.59,13.363636363636363,4.454545454545454,2.1063636363636364,cbbf0478-8308-5f2f-ae1e-8bca911d23c0
18,06/12/2023,Brighton,Brentford,10,0.4,0.4,0.2,1.9,1.8,1.6,1.44,1.364,1.284,1.131,0.23199999999999998,10.27,15.03,7.2,8.7,1.486,10,0.3,0.2,0.5,1.3,1.5,1.1,1.864,1.864,1.577,1.501,0.363,10.43,11.27,8.0,8.2,1.52,94651ebc-627b-557e-a1db-6d16d5745c63
19,09/12/2023,Sheffield United,Brentford,11,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.9090909090909091,2.8181818181818183,0.45454545454545453,0.8245454545454546,0.6863636363636364,2.653636363636364,2.5154545454545456,-1.829090909090909,14.99,9.73,4.818181818181818,10.272727272727273,0.4990909090909091,10,0.3,0.2,0.5,1.3,1.5,1.1,1.864,1.864,1.577,1.501,0.363,10.43,11.27,8.0,8.2,1.52,bbd8e383-e20e-595f-9d6a-b4e0e90fda18
