Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
11/09/2021,Hoffenheim,Mainz 05,0-2,2.0,3.75,3.5,1.57,2.37,Hoffenheim,3,1,1,1,8,5,4,6.84,6.84,6.49,6.49,0.34,10.42,14.85,25,26,4.11,Mainz 05,3,2,0,1,4,2,6,4.88,4.88,2.2,2.2,2.68,9.24,9.32,18,12,5.79
11/09/2021,Bayer Leverkusen,Borussia Dortmund,3-4,3.1,3.8,2.15,1.4,3.0,Bayer Leverkusen,3,2,1,0,9,2,7,4.86,4.86,3.8,3.04,1.82,9.58,12.54,15,16,4.85,Borussia Dortmund,3,2,0,1,9,6,6,7.74,7.74,5.38,5.38,2.37,9.4,14.71,48,14,5.58
11/09/2021,Union Berlin,Augsburg,0-0,1.7,3.75,5.0,1.91,1.99,Union Berlin,3,1,2,0,5,4,5,4.36,4.36,3.29,3.29,1.07,17.49,6.97,17,19,4.78,Augsburg,3,0,1,2,1,8,1,2.59,2.59,6.89,6.89,-4.3,13.49,7.74,18,19,1.57
11/09/2021,RasenBallsport Leipzig,Bayern Munich,1-4,3.0,3.8,2.2,1.44,2.75,RasenBallsport Leipzig,3,1,0,2,4,2,3,5.15,4.39,3.34,3.34,1.05,6.8,12.48,32,6,5.11,Bayern Munich,3,2,1,0,9,3,7,10.25,10.25,3.52,3.52,6.73,8.81,12.59,46,10,7.61
12/09/2021,Eintracht Frankfurt,VfB Stuttgart,1-1,2.0,3.75,3.5,1.5,2.62,Eintracht Frankfurt,3,0,2,1,3,6,2,4.48,4.48,3.63,3.63,0.85,8.51,16.44,19,24,5.15,VfB Stuttgart,3,1,0,2,7,8,3,7.5,7.5,5.54,4.78,2.71,9.25,14.78,26,27,5.11
12/09/2021,Bochum,Hertha Berlin,1-3,2.8,3.4,2.5,2.02,1.88,Bochum,3,1,0,2,3,3,3,2.07,2.07,6.52,5.76,-3.69,18.57,6.84,9,23,1.84,Hertha Berlin,3,0,0,3,2,10,0,3.86,3.1,6.44,6.44,-3.34,17.02,6.89,8,45,3.82
12/09/2021,Borussia M.Gladbach,Arminia Bielefeld,3-1,1.44,4.75,7.0,1.66,2.2,Borussia M.Gladbach,3,0,1,2,2,7,1,5.18,4.42,6.43,6.43,-2.01,9.02,13.09,19,30,3.29,Arminia Bielefeld,3,0,3,0,2,2,3,1.97,1.97,6.0,5.24,-3.28,14.58,7.31,9,20,1.29
17/09/2021,Hertha Berlin,Greuther Fuerth,2-1,1.75,3.75,4.2,1.86,2.04,Hertha Berlin,4,1,0,3,5,11,3,4.46,3.7,7.47,7.47,-3.76,17.31,6.13,9,48,4.73,Greuther Fuerth,4,0,1,3,2,11,1,4.59,3.83,9.26,8.5,-4.67,12.12,9.22,19,37,3.25
18/09/2021,Augsburg,Borussia M.Gladbach,1-0,4.2,4.0,1.8,1.57,2.37,Augsburg,4,0,2,2,1,8,2,3.43,3.43,8.61,8.61,-5.18,14.44,8.07,22,19,2.21,Borussia M.Gladbach,4,1,1,2,5,8,4,7.31,6.55,7.96,7.96,-1.41,8.9,12.84,29,35,5.07
18/09/2021,Bayern Munich,Bochum,7-0,1.06,13.0,29.0,1.16,5.0,Bayern Munich,4,3,1,0,13,4,10,14.55,13.8,3.87,3.87,9.93,9.48,11.93,59,17,10.6,Bochum,4,1,0,3,4,6,3,3.1,3.1,7.12,6.36,-3.26,12.47,8.87,12,24,3.57
