Match Number,Round Number,Date,Location,Home Team,Away Team,Result
363,37,18/05/2024 22:00,San Siro,Inter,Lazio,
364,37,18/05/2024 22:00,Ettore Giardiniero - Via del mare,Lecce,Atalanta,
365,37,18/05/2024 22:00,Brianteo,Monza,Frosinone,
366,37,18/05/2024 22:00,Olimpico,Roma,Genoa,
367,37,18/05/2024 22:00,Arechi,Salernitana,Verona,
368,37,18/05/2024 22:00,Mapei Stadium - Città del Tricolore,Sassuolo,Cagliari,
369,37,18/05/2024 22:00,Olimpico Grande Torino,Torino,AC Milan,
370,37,18/05/2024 22:00,Friuli,Udinese,Empoli,
371,38,25/05/2024 22:00,Juventus Stadium,Juventus,Monza,
372,38,25/05/2024 22:00,Olimpico,Lazio,Sassuolo,
373,38,25/05/2024 22:00,San Siro,AC Milan,Salernitana,
374,38,25/05/2024 22:00,Diego Armando Maradona,Napoli,Lecce,
375,38,25/05/2024 22:00,Marcantonio Bentegodi,Verona,Inter,
376,38,25/05/2024 22:00,Atleti Azzurri d'Italia,Atalanta,Torino,
377,38,25/05/2024 22:00,Unipol Domus,Cagliari,Fiorentina,
378,38,25/05/2024 22:00,Carlo Castellani,Empoli,Roma,
379,38,25/05/2024 22:00,Benito Stirpe,Frosinone,Udinese,
380,38,25/05/2024 22:00,Luigi Ferraris,Genoa,Bologna,
