,Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
726,05/05/2019,Monaco,Saint-Etienne,2-3,2.4,3.5,2.87,1.75,2.07,34,0.20588235294117646,0.35294117647058826,0.4411764705882353,1.0,1.5,0.9705882352941176,1.2091176470588234,1.0973529411764706,1.3023529411764707,1.145,-0.04764705882352942,9.79,10.95,5.029411764705882,4.4411764705882355,1.3320588235294117,34,0.5,0.23529411764705882,0.2647058823529412,1.5294117647058822,1.088235294117647,1.7352941176470589,1.5608823529411764,1.4491176470588236,1.243529411764706,1.0423529411764705,0.4067647058823529,9.75,11.14,5.117647058823529,4.735294117647059,1.591764705882353,36013da1-04e1-590e-942b-ee72179b71ec
727,05/05/2019,Montpellier,Amiens,1-1,1.72,3.75,5.0,2.13,1.71,34,0.4117647058823529,0.35294117647058826,0.23529411764705882,1.4705882352941178,1.1470588235294117,1.588235294117647,1.2802941176470588,1.213235294117647,1.1241176470588234,1.0088235294117647,0.20470588235294118,11.32,10.42,4.970588235294118,4.882352941176471,1.4961764705882352,34,0.23529411764705882,0.2647058823529412,0.5,0.8235294117647058,1.411764705882353,0.9705882352941176,0.8773529411764706,0.8102941176470588,1.2873529411764706,1.0861764705882353,-0.27558823529411763,10.87,9.02,3.588235294117647,5.911764705882353,1.058529411764706,20f90866-a03f-5615-8d8e-904f5f1319dd
728,05/05/2019,Nantes,Dijon,3-0,1.9,3.5,4.2,2.09,1.74,34,0.35294117647058826,0.20588235294117646,0.4411764705882353,1.2647058823529411,1.3235294117647058,1.2647058823529411,1.2261764705882352,1.069705882352941,1.285294117647059,1.146764705882353,-0.07705882352941176,9.43,9.59,4.382352941176471,4.911764705882353,1.381470588235294,34,0.20588235294117646,0.20588235294117646,0.5882352941176471,0.7941176470588235,1.5,0.8235294117647058,0.9664705882352941,0.8955882352941176,1.4605882352941175,1.4158823529411766,-0.5202941176470589,9.6,10.01,5.205882352941177,5.147058823529412,1.0188235294117647,a93a5105-aa2f-5265-b004-31a21e31e9a6
729,05/05/2019,Toulouse,Rennes,2-2,2.3,3.3,3.25,1.99,1.82,34,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.8823529411764706,1.411764705882353,1.0588235294117647,1.1264705882352941,0.9029411764705882,1.4820588235294119,1.3702941176470589,-0.4673529411764706,10.48,9.02,4.382352941176471,5.382352941176471,1.177058823529412,34,0.3235294117647059,0.3235294117647059,0.35294117647058826,1.3823529411764706,1.411764705882353,1.2941176470588236,1.466764705882353,1.2835294117647058,1.1414705882352942,1.0744117647058824,0.20911764705882355,10.39,11.0,5.0588235294117645,5.117647058823529,1.6191176470588236,f2fc1ea5-20e8-595c-a938-ada1cf1d1276
730,10/05/2019,Saint-Etienne,Montpellier,0-1,1.75,3.8,4.75,1.71,2.14,35,0.5142857142857142,0.22857142857142856,0.2571428571428571,1.5714285714285714,1.1142857142857143,1.7714285714285714,1.5371428571428571,1.4285714285714286,1.2777142857142856,1.0822857142857143,0.346,9.65,11.21,5.0285714285714285,4.6571428571428575,1.5534285714285714,35,0.4,0.37142857142857144,0.22857142857142856,1.457142857142857,1.1428571428571428,1.5714285714285714,1.2597142857142858,1.1945714285714286,1.0971428571428572,0.9851428571428571,0.20942857142857144,11.23,10.27,5.0,4.828571428571428,1.500857142857143,c5e800b7-0018-57ea-8e19-43300d025aac
731,11/05/2019,Amiens,Toulouse,0-0,2.3,3.2,3.3,2.46,1.54,35,0.22857142857142856,0.2857142857142857,0.4857142857142857,0.8285714285714286,1.4,0.9714285714285714,0.8577142857142857,0.7925714285714285,1.2665714285714285,1.0711428571428572,-0.2785714285714286,10.7,8.99,3.5714285714285716,5.914285714285715,1.052,35,0.22857142857142856,0.37142857142857144,0.4,0.9142857142857143,1.4285714285714286,1.0571428571428572,1.1434285714285715,0.9045714285714286,1.4948571428571429,1.3645714285714285,-0.46,10.35,9.08,4.542857142857143,5.314285714285714,1.1774285714285715,5913f9b4-f974-58f6-a0c7-026a58c7cd42
732,11/05/2019,Angers,Paris Saint Germain,1-2,6.0,4.33,1.53,1.45,2.55,35,0.2857142857142857,0.42857142857142855,0.2857142857142857,1.2,1.1714285714285715,1.2857142857142858,1.2108571428571429,1.0154285714285713,1.1768571428571428,1.087142857142857,-0.0717142857142857,15.57,9.61,4.8,5.0,1.396,35,0.7714285714285715,0.11428571428571428,0.11428571428571428,2.8,0.8857142857142857,2.4285714285714284,2.5462857142857143,2.285428571428571,0.9517142857142857,0.8431428571428572,1.4425714285714286,7.1,16.72,12.085714285714285,3.5142857142857142,2.302285714285714,923927eb-0ff9-55d0-bab3-3512771e0748
733,11/05/2019,Caen,Reims,3-2,2.4,3.1,3.1,2.59,1.49,35,0.17142857142857143,0.34285714285714286,0.4857142857142857,0.7428571428571429,1.3428571428571427,0.8571428571428571,0.7051428571428572,0.6182857142857143,1.5551428571428572,1.4248571428571428,-0.8065714285714286,11.99,8.74,2.4,5.828571428571428,0.8162857142857143,35,0.3142857142857143,0.45714285714285713,0.22857142857142856,0.9428571428571428,1.0857142857142856,1.4,0.9388571428571428,0.9171428571428571,1.12,0.9680000000000001,-0.05085714285714286,12.0,8.18,4.285714285714286,4.542857142857143,1.2317142857142858,c193e5f9-3d01-5580-9aa6-fe621456c7ed
734,11/05/2019,Dijon,Strasbourg,2-1,2.05,3.5,3.6,2.02,1.79,35,0.2,0.2,0.6,0.7714285714285715,1.542857142857143,0.8,0.9488571428571428,0.8802857142857142,1.4685714285714286,1.4034285714285712,-0.5234285714285715,9.77,10.01,5.171428571428572,5.285714285714286,0.9982857142857142,35,0.2857142857142857,0.45714285714285713,0.2571428571428571,1.6,1.2571428571428571,1.3142857142857143,1.0248571428571427,0.8934285714285715,1.282857142857143,1.1062857142857143,-0.21314285714285713,11.39,11.64,3.942857142857143,4.742857142857143,1.1811428571428573,fe8a4dd9-dcef-5b8b-94f5-8199fc94d3d2
735,11/05/2019,Nice,Nantes,1-1,2.5,3.1,3.1,2.19,1.67,35,0.4,0.2857142857142857,0.3142857142857143,0.7714285714285715,0.8857142857142857,1.4857142857142858,1.1277142857142857,0.9728571428571428,1.2485714285714287,1.1182857142857143,-0.14542857142857143,10.84,12.05,3.5428571428571427,5.714285714285714,1.3014285714285714,35,0.37142857142857144,0.2,0.42857142857142855,1.3142857142857143,1.2857142857142858,1.3142857142857143,1.2408571428571429,1.0671428571428572,1.2585714285714285,1.124,-0.056857142857142856,9.45,9.78,4.542857142857143,4.885714285714286,1.4140000000000001,f55d2b46-1f6e-5eb0-bbe3-a7cf11d3a27a
